#,Name,Category,Size,Price,Sold,Custom Available,Price on Request,Image File,Description
?? CANVAS PAINTINGS,,,,,,,,,
1,The Trio: African Queens,Canvas Painting,3 × 30×50cm,?280,no,no,no,african_queens.png,"Three vibrant African women, each a world of color and pattern. Bold silhouettes, handmade acrylic on canvas. Sold as a complete set."
2,Garden Gate,Canvas Painting,40×40cm,?150,no,no,no,garden_gate.png,"A charming textured scene ? blue door, flowering tree, window box blooms, a little white chair. Mixed media with dimensional elements on canvas."
3,Squirrel in Bloom,Canvas Painting,30×30cm,?120,no,no,no,squirrel_in_bloom.png,"A lively squirrel perched on a sweeping branch, surrounded by lush green leaves and pink blossoms. Handmade acrylic on canvas."
4,Chromatic Burst,Canvas Painting,20×20cm,?90,no,no,no,chromatic_burst.png,An explosive abstract composition ? vivid feather-like forms erupting from a dark background. Handmade acrylic on canvas.
5,Kingfisher Découpaged,Canvas Painting,40×30cm,?150,no,no,no,kingfisher_decopage.png,"Two kingfisher birds, mosaic and diamond painting, finished with découpaged resin coat. Pressed leaves and botanicals border."
6,Sacred Lotus Mandala,Canvas Painting,40×40cm,?150,no,no,no,lotus_mandala.png,"A mesmerizing mandala centered around a radiant lotus flower, bursting with gold, red, blue and black. Handmade acrylic on canvas."
7,Rainbow Falls,Canvas Painting,30×30cm,?120,no,no,no,rainbow_falls.png,"A vivid waterfall cascading in full rainbow colors, lush green cliffs framing the scene. Handmade acrylic on canvas."
8,Midnight Shore,Canvas Painting,30×30cm,?120,no,no,no,midnight_shore.png,"A serene night seascape ? moonlit ocean, lone palm tree, deep blue starry sky. Handmade acrylic on canvas."
9,Flora Mind,Canvas Painting,30×40cm,?130,no,no,no,flora_mind.png,A woman's profile blooming with flowers and vines against a bold rainbow geometric background. Handmade acrylic on canvas.
10,Tree of Hearts,Canvas Painting,30×40cm,?130,no,no,no,tree_of_hearts.png,"A magical tree whose branches are made entirely of pink and red hearts, glowing against a cosmic sky. Handmade acrylic on canvas."
11,Space Folklore,Canvas Painting,"30×40cm, wood framed",?140,no,YES,no,space_folklore.png,Collab with Ahmed Hany. A cloaked figure on an otherworldly desert beneath orbiting planets. Available in different color themes.
12,Rooted in Gold,Canvas Painting,30×40cm,?130,no,no,no,rooted_in_gold.png,"A magnificent tree in intricate dot-work and organic patterns ? rich amber tones, sprawling roots. Handmade acrylic on canvas."
13,Eating Pain,Canvas Painting,"40×46cm, wood framed",?160,no,YES,no,eating_pain.png,Collab with Ahmed Hany. Raw portrait of a human consumed by life's weight. Available in different color themes.
14,Social Media,Canvas Painting,"55×70cm, wood framed",?280,no,YES,no,social_media.png,"Collab with Ahmed Hany. Mixed media ? acrylic paste, UV resin. Commentary on screen obsession. Available in different color themes."
15,Faces,Canvas Painting,30×40cm,?140,no,no,no,general.png,Collab with Ahmed Hany. Chaotic joyful explosion of faces and characters. Handmade acrylic on canvas.
?? LAMPS,,,,,,,,,
16,Spirit Chief,Lamp,"Plexi 12×15cm, wood LED base",?65,no,no,no,spirit_chief.png,Native American headdress engraved on illuminated plexi glass. USB powered wood LED base.
17,Entwined,Lamp,"Plexi 12×15cm, wood LED base",?65,no,no,no,entwined.png,Two hands in 3D wire-mesh illusion engraved on illuminated plexi glass. USB powered.
18,The Kraken,Lamp,Approx. 25cm tall × 8cm wide,?180,YES,YES,no,the_kraken.png,Clay octopus hand-sculpted on a glass bottle with fairy lights inside. Battery powered. SOLD ? custom available.
19,Floral Horse,Lamp,"Plexi 12×15cm, wood LED base",?65,no,no,no,floral_horse.png,Horse head with mandala florals engraved on illuminated plexi glass. USB powered.
20,She-Tree,Lamp,"Plexi 12×15cm, wood LED base",?65,no,no,no,she_tree.png,"Woman merging into a windswept tree, birds taking flight. Engraved on illuminated plexi glass. USB powered."
21,The Lion,Lamp,"Plexi 10×12cm, wood LED base",?60,no,no,no,the_lion.png,Majestic lion portrait with elaborate mandala mane. Engraved on illuminated plexi glass. USB powered.
22,Wild Stallion,Lamp,"Plexi 10×12cm, wood LED base",?60,no,no,no,wild_stallion.png,Powerful horse in full gallop with swirling mandala patterns. Engraved on illuminated plexi glass. USB powered.
23,The Stranger,Lamp,"Plexi 10×12cm, wood LED base",?60,no,no,no,the_stranger.png,V for Vendetta tribute. Figure in dot-work patterns. Engraved on illuminated plexi glass. USB powered.
24,Night Owl,Lamp,"Plexi 10×12cm, wood LED base",?60,no,no,no,night_owl.png,Striking owl portrait with mandala feather details. Engraved on illuminated plexi glass. USB powered.
25,With a Blazing Smile,Lamp,"Plexi 10×12cm, wood LED base",?150,YES,YES,no,joker.png,Joker-inspired face in flowing parallel lines with engraved quote on wood base. SOLD ? custom available.
26,Hidden Falls,Lamp,"Plexi 12×15cm, wood LED base",?65,no,no,no,hidden_falls.png,Forest waterfall scene in fine line detail. Engraved on illuminated plexi glass. USB powered.
?? ROLL STUDIO,,,,,,,,,
27,Neon Lips,Roll Studio,20×20cm,?120,no,no,no,lips_tray.png,"UV reactive rolling tray. Magnetic side compartment, 4 joint holders, packing tool included. Fully handmade."
28,One Love,Roll Studio,Approx. 30×25cm,?130,no,no,no,one_love_tray.png,"Hand-carved rasta tribute tray. 3 joint holders, magnetic One Love companion box. Fully handmade."
29,Seeing Sounds,Roll Studio,25cm diameter,?110,YES,YES,no,seeing_sound.png,"Leo from That 70s Show tribute. Resin coated, magnetic grinder dish. SOLD ? custom available."
30,Plume,Roll Studio,30cm diameter,?95,no,no,no,plum.png,Woman with feather headdress on pearl resin finished wooden piece. Wall decoration or decorative tray.
? ACCESSORIES,,,,,,,,,
31,Puzzle Piece ? Amethyst,Accessory,2×3.5cm charm,?18 / ?60 set,no,YES,no,puzzle_resin_set.png,"Handmade resin puzzle piece charm. Available as necklace, leather cord, keychain or bracelet."
32,Smiley Set ? Fire Resin,Accessory,2×3.5cm charm,?18 / ?60 set,no,YES,no,smiley_resin_set.png,"Fiery red glitter oval with golden smiley faces. Available as necklace, leather cord, keychain or bracelet."
33,Bloom Set ? Terracotta,Accessory,2×3.5cm charm,?18 / ?60 set,no,YES,no,bloom_set.png,"Terracotta orange flower in resin with silver metal frame. Available as necklace, leather cord, keychain or bracelet."
34,Crystal Bead Tree,Accessory,"15cm tall, 10×10cm crystal base",Price on request,YES,YES,YES,chrystal_tree.png,Wire and crystal bead sculpture on rare natural crystal base. SOLD ? custom versions available.
35,Yin Yang Wall Piece,Accessory,30cm diameter,?95,no,no,no,ying_yang.png,Hand carved yin yang with poured black resin on one side. Wall decoration.
36,Skull Trio Keychains,Accessory,1×2×2cm each,?15 each,no,YES,no,skull_keychain.png,"Three skull designs: Day of the Dead, Blue Crystal Bandana, Black & Gold. Handmade resin, customisable."
37,Spiral Orbit Pendant,Accessory,2×2cm,?25,no,YES,no,spiral_orbit.png,"Clear resin circle with gold wire spirals embedded. Customisable in wire color, resin tint and size."
38,Metallica Customs,Accessory,Any size,?180,YES,YES,no,metallica_customs.png,"Hand painted sneakers, sealed and coated. SOLD ? custom orders any design, any size."
39,Garden Bloom Slip-Ons,Accessory,Any size,?150,YES,YES,no,garden_bloom_slip_on.png,"Floral mandala painted fabric slip-ons, sealed and coated. SOLD ? custom orders any design."
40,Neon City Runners,Accessory,Any size,?180,YES,YES,no,neon_runners.png,"Electric color block painted sneakers. SOLD ? custom orders any design, any size."
